cbsa_geoid,cbsa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
28180,"Kapaa, HI Micro Area",160,2.0140001080901277,95.57
27980,"Kahului-Wailuku, HI Metro Area",203,2.2371430359721316,97.19
14260,"Boise City, ID Metro Area",330,1.2200244229942945,87.24
38540,"Pocatello, ID Metro Area",208,0.22319263449540652,66.7
13940,"Blackfoot, ID Micro Area",154,-0.2828883422532559,47.46
25200,"Hailey, ID Micro Area",195,1.8210091168584939,94.05
41760,"Sandpoint, ID Micro Area",225,0.7968705390140722,79.89
26820,"Idaho Falls, ID Metro Area",245,0.5609695301683034,75.57
15420,"Burley, ID Micro Area",144,-1.1694599636642757,6.92
34300,"Mountain Home, ID Micro Area",95,-0.839239420054179,19.78
30860,"Logan, UT-ID Metro Area",210,0.7234281304474975,79.24
39940,"Rexburg, ID Micro Area",144,0.4159546503752422,72.65
46300,"Twin Falls, ID Metro Area",221,-0.12331286815561507,54.38
17660,"Coeur d'Alene, ID Metro Area",284,1.068882248905316,84
34140,"Moscow, ID Micro Area",150,0.7115974659219614,78.81
30300,"Lewiston, ID-WA Metro Area",167,-0.349068235854006,43.89
14940,"Brigham City, UT-ID Micro Area",142,-0.54484790374587,34.81
36620,"Ontario, OR-ID Micro Area",155,-0.8110876142885476,21.08
27220,"Jackson, WY-ID Micro Area",184,2.3330287357147377,97.51
39500,"Quincy, IL-MO Micro Area",175,-0.06771436632463457,56.22
16020,"Cape Girardeau, MO-IL Metro Area",206,-0.05575464941319768,56.76
41180,"St. Louis, MO-IL Metro Area",304,1.1073049731968267,84.76
40420,"Rockford, IL Metro Area",226,0.4096087978089541,72.43
36837,"Ottawa, IL Micro Area",210,-0.49633332120558205,37.62
16580,"Champaign-Urbana, IL Metro Area",159,0.7074282231785428,78.7
45380,"Taylorville, IL Micro Area",117,-0.8066547205721344,21.3
16660,"Charleston-Mattoon, IL Micro Area",106,-0.606727469210577,31.24
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",399,2.0907432029667454,95.89
20820,"Effingham, IL Micro Area",153,-0.31541948385283264,46.38
15900,"Canton, IL Micro Area",118,-1.1083843329571537,8.22
15460,"Burlington, IA-IL Micro Area",166,-0.5400566214663431,35.24
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",238,-0.3174627978899719,46.16
16060,"Carbondale, IL Micro Area",119,-0.2613868478559482,48.43
34500,"Mount Vernon, IL Micro Area",110,-0.9583088008923218,14.27
28100,"Kankakee, IL Metro Area",174,-0.5245281817651207,36.32
23660,"Galesburg, IL Micro Area",119,-0.6555617172491158,29.19
19940,"Dixon, IL Micro Area",122,-0.4400324877495596,40.54
38700,"Pontiac, IL Micro Area",114,-1.1759844307826894,6.49
30660,"Lincoln, IL Micro Area",90,-1.0177433162328835,11.14
